New York Snow Depth, January 2018
"GHCN ID","Station Name",County,Elevation,Latitude,Longitude,"Jan 1","Jan 2","Jan 3","Jan 4","Jan 5","Jan 6","Jan 7","Jan 8","Jan 9"
USC00306085,"NORWICH","CHENANGO",989,-75.52,42.51,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,M
US1NYCN0009,"NORWICH 5.4 W","CHENANGO",1498,-75.63,42.53,2.5,3.0,3.0,3.0,5.0,3.0,2.5,2.5,M
US1NYAB0021,"NWS ALBANY","ALBANY",260,-73.83,42.69,2.0,2.0,2.0,2.0,5.0,5.0,5.0,M,M
USW00094728,"NY CITY CENTRAL PARK","NEW YORK",140,-73.97,40.78,T,0.0,T,1.2,7.1,5.9,M,M,M
US1NYSL0010,"OGDENSBURG 1.6 SW","ST. LAWRENCE",279,-75.49,44.69,15.0,15.0,15.0,15.0,14.5,14.5,14.0,15.0,M
USC00306196,"OLEAN","CATTARAUGUS",1420,-78.45,42.07,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,M
US1NYCT0006,"OLEAN 1.2 NE","CATTARAUGUS",1541,-78.41,42.09,4.5,4.5,4.0,4.0,4.0,4.5,M,M,M
US1NYES0006,"OLMSTEDVILLE 4.6 NNE","ESSEX",1507,-73.90,43.83,13.0,12.5,13.5,13.0,13.0,12.5,12.0,12.5,M
US1NYMD0022,"ONEIDA 0.4 NW","MADISON",565,-75.67,43.08,3.5,4.5,5.0,4.0,5.5,7.0,7.0,6.5,M
USC00306300,"OSCEOLA","LEWIS",1092,-75.71,43.50,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,M
US1NYOS0003,"OSWEGO 5.0 ESE","OSWEGO",456,-76.41,43.44,18.0,38.0,33.5,26.0,27.5,25.5,22.5,23.2,M
USC00306376,"PALERMO 2SSE","OSWEGO",445,-76.27,43.33,16.3,19.5,17.0,16.0,20.0,21.0,M,M,M
US1NYWC0011,"PEEKSKILL 0.4 N","WESTCHESTER",179,-73.92,41.29,T,T,T,T,8.5,7.5,7.0,M,M
USC00306525,"PERRYSBURG","CATTARAUGUS",1210,-79.00,42.46,28.0,28.0,28.0,29.0,30.0,30.0,30.0,M,M
US1NYCL0007,"PERU 4.1 ESE","CLINTON",181,-73.45,44.56,8.0,8.0,8.0,7.0,7.5,7.0,6.5,8.5,M
US1NYMR0021,"PITTSFORD 4.0 SSE","MONROE",557,-77.49,43.03,7.0,M,M,M,M,M,M,6.0,M
US1NYNS0030,"PLAINEDGE 0.4 WSW","NASSAU",75,-73.48,40.72,M,M,M,M,13.0,M,M,M,M
US1NYNS0043,"PLAINVIEW 0.4 ENE","NASSAU",186,-73.47,40.79,0.5,M,M,M,13.0,11.0,9.0,8.0,M
USC00306649,"PLATTE CLOVE","GREENE",2032,-74.09,42.14,M,M,4.0,M,9.0,M,M,M,M
USC00306660,"PLATTSBURGH 1 S","CLINTON",178,-73.46,44.69,M,7.0,7.0,6.0,6.0,7.0,7.0,8.0,M
USW00064776,"PLATTSBURGH INTERNATIONAL AIRPORT","CLINTON",234,-73.47,44.65,M,0.0,0.0,0.0,0.0,0.0,M,M,M
US1NYOD0002,"POINT ROCK 0.6 SE","ONEIDA",1100,-75.54,43.37,14.0,14.5,15.0,14.0,14.0,14.0,14.0,15.0,M
US1NYSF0100,"PORT JEFFERSON STATION 0.3 SSW","SUFFOLK",176,-73.07,40.92,0.5,0.5,M,3.0,11.0,10.0,8.5,8.0,M
USC00306774,"PORT JERVIS","ORANGE",580,-74.69,41.39,2.0,2.0,2.0,1.0,6.0,M,M,M,M
US1NYNS0027,"PORT WASHINGTON 0.8 N","NASSAU",171,-73.68,40.84,M,M,0.0,M,M,M,M,M,M
USC00306745,"PORTAGEVILLE","WYOMING",1168,-78.04,42.57,5.0,M,M,5.0,M,5.0,M,M,M
USC00306820,"POUGHKEEPSIE","DUTCHESS",251,-73.92,41.73,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,M
USC00306867,"PULASKI","OSWEGO",399,-76.12,43.57,15.0,16.0,16.0,14.0,14.0,17.0,16.0,14.0,M
US1NYOS0021,"PULASKI 0.5 NE","OSWEGO",287,-76.12,43.57,M,16.5,17.5,15.5,14.5,17.5,16.5,14.5,M
US1NYWR0013,"QUEENSBURY 2.5 E","WARREN",303,-73.63,43.36,11.0,11.0,11.0,10.5,M,M,M,M,M
US1NYCT0002,"RANDOLPH 1.1 ENE","CATTARAUGUS",1335,-78.96,42.17,12.0,14.0,M,12.0,14.0,16.0,16.0,M,M
US1NYSF0103,"RIDGE 1.8 SE","SUFFOLK",69,-72.85,40.90,1.0,1.0,1.0,9.0,7.0,6.0,6.0,M,M
US1NYSF0002,"RIVERHEAD 1.3 SSE","SUFFOLK",43,-72.67,40.93,1.0,T,M,T,11.0,10.0,M,M,M
US1NYMR0023,"ROCHESTER 5.0 WNW","MONROE",430,-77.70,43.20,9.0,M,M,M,M,M,M,M,M
USW00014768,"ROCHESTER GREATER INT'L","MONROE",539,-77.68,43.12,10.0,8.0,6.0,5.0,7.0,10.0,9.0,M,M
US1NYOD0052,"ROME 3.7 SW","ONEIDA",471,-75.55,43.20,M,M,3.5,3.5,7.0,7.0,7.0,M,M
US1NYSF0024,"RONKONKOMA 1.4 WSW","SUFFOLK",66,-73.15,40.80,0.5,M,M,M,9.0,M,M,M,M
USC00307274,"ROSENDALE 2 E","ULSTER",122,-74.05,41.85,M,4.0,4.0,4.0,M,M,M,5.0,M
US1NYUL0016,"ROSENDALE VILLAGE 1.8 WNW","ULSTER",298,-74.11,41.86,4.5,M,M,M,7.0,M,M,M,M
USC00307329,"RUSHFORD","ALLEGANY",1600,-78.19,42.43,9.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,M
US1NYCL0012,"SARANAC 0.8 SSE","CLINTON",830,-73.74,44.64,M,M,5.0,M,M,M,M,M,M
US1NYFK0007,"SARANAC LAKE 6.2 N","FRANKLIN",1710,-74.15,44.41,13.0,13.0,15.0,15.0,16.0,15.0,14.0,17.0,M
USW00094740,"SARANAC LAKE ADIRONDACK REGIONAL","FRANKLIN",1663,-74.21,44.39,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M
US1NYSR0004,"SARATOGA SPRINGS 0.5 S","SARATOGA",310,-73.78,43.06,8.5,8.0,7.5,7.0,8.5,8.0,7.0,M,M
US1NYSC0011,"SCHENECTADY 3.3 E","SCHENECTADY",330,-73.86,42.79,5.0,5.0,5.0,5.0,9.0,8.5,8.0,7.5,M
USC00307520,"SCHOHARIE","SCHOHARIE",734,-74.30,42.67,2.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,M
USC00307705,"SHERBURNE","CHENANGO",1095,-75.51,42.68,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,M
US1NYCQ0027,"SILVER CREEK 1.0 SSE","CHAUTAUQUA",720,-79.16,42.53,10.0,10.0,10.0,12.0,9.0,9.0,9.0,7.0,M
USC00307750,"SILVER CREEK 1S","CHAUTAUQUA",717,-79.16,42.53,10.0,10.0,10.0,12.0,10.0,9.0,9.0,7.0,M
USC00307749,"SILVER SPRINGS 3N","WYOMING",1667,-78.09,42.71,12.0,13.0,13.0,12.0,13.0,12.0,12.0,12.0,M
USC00307780,"SKANEATELES","ONONDAGA",875,-76.43,42.95,M,M,7.0,4.0,12.0,M,M,M,M
US1NYOG0061,"SKANEATELES 0.8 NNW","ONONDAGA",937,-76.43,42.96,7.5,9.0,9.5,7.0,14.0,M,M,M,M
US1NYSY0001,"SMITH VALLEY 1.9 SE","SCHUYLER",1398,-76.72,42.39,4.5,5.0,5.0,4.5,5.0,5.0,4.5,4.5,M
USC00307842,"SODUS 1W","WAYNE",444,-77.08,43.24,20.0,18.0,18.0,16.0,21.0,23.0,23.0,23.0,M
US1NYST0003,"SOUTH CORNING 4.7 S","STEUBEN",1730,-77.05,42.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,M
US1NYWC0006,"SOUTH SALEM 2.1 NW","WESTCHESTER",497,-73.57,41.30,2.0,2.0,2.0,3.0,10.5,7.5,7.0,7.0,M
USC00308132,"SPRINGVILLE 5NE","ERIE",1691,-78.58,42.55,20.0,21.0,18.0,18.0,16.0,15.0,15.0,M,M
US1NYGN0006,"STAFFORD 1.8 NE","GENESEE",899,-78.05,43.00,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,M
US1NYRC0002,"STATEN ISLAND 1.4 SE","RICHMOND",72,-74.13,40.57,1.0,M,M,1.0,10.5,M,M,M,M
USC00308248,"STILLWATER RESERVOIR","HERKIMER",1690,-75.04,43.90,M,16.0,26.0,23.0,23.0,M,M,M,M
US1NYNS0036,"SYOSSET 2.0 SSW","NASSAU",180,-73.51,40.79,0.0,T,T,M,7.0,M,M,4.0,M
USW00014771,"SYRACUSE HANCOCK INTL AP","ONONDAGA",413,-76.10,43.11,7.1,9.1,9.1,7.9,15.0,22.8,M,M,M
US1NYER0086,"TONAWANDA 1.5 NNE","ERIE",579,-78.87,43.01,7.0,7.0,M,7.0,9.0,M,M,10.0,M
USC00308578,"TRENTON FALLS","ONEIDA",800,-75.16,43.28,M,8.0,M,M,M,M,M,M,M
US1NYRN0020,"TROY 2.1 NNE","RENSSELAER",446,-73.65,42.76,5.0,4.5,4.5,4.5,9.0,9.0,9.0,8.5,M
US1NYRN0013,"TROY 6.9 NE","RENSSELAER",688,-73.56,42.79,4.8,M,M,M,M,M,M,M,M
USC00308600,"TROY LOCK AND DAM","RENSSELAER",24,-73.69,42.75,5.0,5.0,5.0,4.0,6.0,6.0,5.0,3.0,M
US1NYTM0038,"TRUMANSBURG 0.4 WNW","TOMPKINS",991,-76.67,42.54,M,6.5,5.5,5.5,M,M,M,5.0,M
USC00308631,"TUPPER LAKE SUNMOUNT","FRANKLIN",1680,-74.44,44.23,M,M,13.0,M,14.0,M,M,14.0,M
USC00308721,"UPTON COOP - NWSFO NEW YORK","SUFFOLK",26,-72.86,40.87,1.0,1.0,1.0,2.0,10.0,9.0,9.0,7.0,M
US1NYNS0035,"VALLEY STREAM 0.6 SE","NASSAU",12,-73.70,40.66,M,M,M,12.5,M,M,M,M,M
US1NYWY0007,"VARYSBURG 3.1 E","WYOMING",1698,-78.25,42.76,M,M,M,12.5,12.0,M,M,M,M
US1NYOD0011,"VERNON 0.4 NNW","ONEIDA",614,-75.54,43.09,5.0,6.5,5.0,5.0,M,M,M,6.0,M
US1NYBM0007,"VESTAL 2.8 SSE","BROOME",994,-76.03,42.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,M
US1NYBM0034,"VESTAL 3.2 E","BROOME",1390,-75.99,42.08,2.5,3.0,3.0,2.5,3.5,3.5,3.5,3.0,M
US1NYOG0006,"VILLAGE GREEN 2.6 ESE","ONONDAGA",425,-76.27,43.12,4.0,5.5,5.5,5.0,10.5,16.5,20.0,20.0,M
USC00308910,"WALES","ERIE",1135,-78.59,42.74,8.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,M
USC00308932,"WALTON 2","DELAWARE",1480,-75.15,42.18,5.0,5.0,5.0,4.0,8.0,7.0,7.0,6.0,M
US1NYDL0024,"WALTON 6.5 W","DELAWARE",1249,-75.26,42.17,M,M,3.5,3.5,6.0,5.5,5.0,4.5,M
US1NYWN0010,"WALWORTH 1.7 SW","WAYNE",520,-77.30,43.13,12.0,11.5,10.0,M,11.0,12.0,11.5,M,M
US1NYNS0034,"WANTAGH 0.3 ESE","NASSAU",14,-73.51,40.67,M,M,M,4.0,14.0,M,M,M,M
US1NYNS0037,"WANTAGH 1.1 NNE","NASSAU",34,-73.50,40.68,M,M,M,M,M,10.0,10.0,M,M
US1NYDT0005,"WAPPINGERS FALLS 1.6 ESE","DUTCHESS",231,-73.89,41.59,2.5,M,M,M,M,M,M,M,M
US1NYOG0062,"WARNERS 0.7 WNW","ONONDAGA",449,-76.34,43.09,8.5,10.0,8.5,M,13.8,M,16.0,M,M
US1NYWR0010,"WARRENSBURG 2.1 WNW","WARREN",664,-73.81,43.52,M,M,11.0,11.0,12.5,12.5,12.5,12.5,M
USC00308962,"WARSAW 6 SW","WYOMING",1819,-78.22,42.69,15.0,17.0,15.0,14.0,15.0,15.0,14.0,14.0,M
US1NYSY0006,"WATKINS GLEN 4.6 NW","SCHUYLER",1425,-76.94,42.42,3.5,4.0,3.5,3.5,3.0,3.0,3.0,2.5,M
USC00309047,"WAVERLY","TIOGA",845,-76.53,42.00,2.0,2.0,2.0,2.0,2.0,M,M,2.0,M
USC00309049,"WEBSTER 2 NE","MONROE",275,-77.39,43.24,9.0,8.0,8.0,10.0,11.0,12.0,10.0,M,M
US1NYMR0026,"WEBSTER 3.2 W","MONROE",410,-77.49,43.21,6.5,6.0,5.5,8.5,9.5,8.5,8.0,M,M
USC00309072,"WELLSVILLE","ALLEGANY",1509,-77.95,42.12,4.0,4.0,4.0,4.0,M,4.0,3.0,3.0,M
US1NYAL0002,"WEST ALMOND 3.6 SW","ALLEGANY",1823,-77.94,42.27,4.0,5.0,3.5,3.5,3.5,3.5,4.0,3.5,M
USC00309089,"WEST BLOOMFIELD 1 S","ONTARIO",990,-77.53,42.88,6.0,7.0,6.0,6.0,M,4.0,4.0,4.0,M
US1NYJF0030,"WEST CARTHAGE 0.3 ENE","JEFFERSON",790,-75.62,43.97,M,39.7,40.3,42.3,44.3,M,M,46.3,M
US1NYUL0023,"WEST HURLEY 0.1 S","ULSTER",607,-74.11,42.00,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.3,M
US1NYSF0065,"WEST ISLIP 0.6 SW","SUFFOLK",17,-73.31,40.70,1.0,0.8,0.5,2.5,12.0,9.0,8.5,M,M
US1NYER0113,"WEST SENECA 0.4 E","ERIE",651,-78.74,42.84,M,M,M,M,M,8.4,M,M,M
USC00309248,"WESTMORELAND 4N","ONEIDA",565,-75.46,43.16,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,M
USC00309389,"WHITEHALL","WASHINGTON",119,-73.40,43.56,M,M,7.0,7.0,9.0,7.0,M,M,M
US1NYOD0042,"WHITESBORO 2.3 SW","ONEIDA",548,-75.33,43.10,4.5,6.0,5.5,5.0,5.5,5.0,5.0,5.0,M
US1NYBM0014,"WHITNEY POINT 1.7 SSE","BROOME",1266,-75.96,42.31,3.0,3.5,3.5,3.5,5.5,5.5,5.5,5.5,M
USC00309442,"WHITNEY POINT DAM","BROOME",1040,-75.97,42.34,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,M
US1NYCR0003,"WILLET 1.8 E","CORTLAND",1402,-75.87,42.47,3.5,4.0,4.0,3.8,4.8,4.2,4.2,4.0,M
US1NYER0104,"WILLIAMSVILLE 2.2 NNW","ERIE",589,-78.75,42.99,M,M,M,M,M,10.0,9.5,10.5,M
US1NYER0007,"WILLIAMSVILLE 2.7 E","ERIE",702,-78.69,42.97,7.0,6.0,M,7.0,7.5,7.0,6.0,6.0,M
USC00309499,"WILMINGTON 2W","ESSEX",2019,-73.86,44.39,M,12.0,12.0,11.0,13.0,M,M,14.0,M
US1NYBM0021,"WINDSOR 8.0 SE","BROOME",1666,-75.51,42.01,3.0,3.0,3.0,3.0,4.5,4.0,4.0,M,M
USC00309593,"WYOMING 3W","WYOMING",1549,-78.15,42.82,11.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0,M
USC00309690,"YOUNGSTOWN 2 NE","NIAGARA",280,-79.01,43.27,6.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,M
