New York Snow Depth, January 2018
"GHCN ID","Station Name",County,Elevation,Latitude,Longitude,"Jan 1","Jan 2","Jan 3","Jan 4","Jan 5","Jan 6","Jan 7","Jan 8","Jan 9"
US1NYKN0025,"BROOKLYN 3.1 NW","KINGS",18,-73.99,40.68,0.5,0.5,0.0,M,M,M,M,M,M
US1NYER0109,"BUFFALO 6.7 N","ERIE",619,-78.87,42.99,M,7.5,M,M,M,M,M,M,M
USW00014733,"BUFFALO NIAGARA INTL","ERIE",716,-78.74,42.94,5.9,5.9,7.9,7.1,7.1,M,M,M,M
USC00301068,"BUSKIRK","RENSSELAER",499,-73.43,42.94,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,M
USC00301102,"CALLICOON CENTER","SULLIVAN",1221,-74.95,41.83,5.0,5.0,M,5.0,M,M,6.0,6.0,M
US1NYOG0010,"CAMILLUS 1.0 W","ONONDAGA",812,-76.33,43.04,7.0,9.5,10.0,9.0,M,M,M,M,M
US1NYTG0020,"CANDOR 1.8 N","TIOGA",1103,-76.34,42.25,M,4.0,M,3.0,5.0,M,M,M,M
USW00014743,"CANTON 4 SE","ST. LAWRENCE",448,-75.11,44.58,9.0,M,M,M,M,M,M,M,M
USC00301211,"CARMEL 4N","PUTNAM",680,-73.65,41.47,1.0,1.0,1.0,2.0,9.0,9.0,8.0,7.0,M
US1NYTM0006,"CAROLINE CENTER 0.1 SE","TOMPKINS",1589,-76.32,42.35,7.6,8.0,7.0,6.0,M,M,M,M,M
US1NYJF0011,"CARTHAGE 2.0 SW","JEFFERSON",783,-75.63,43.96,M,M,M,18.0,M,M,M,M,M
US1NYMD0010,"CAZENOVIA 2.9 SE","MADISON",1463,-75.81,42.90,5.0,5.5,4.5,M,11.0,10.5,10.0,10.0,M
USC00301309,"CENTERPORT","SUFFOLK",30,-73.37,40.88,0.0,0.0,0.0,2.0,12.0,10.0,9.0,9.0,M
US1NYER0122,"CHEEKTOWAGA 2.4 NW","ERIE",671,-78.78,42.93,4.5,4.5,5.0,5.5,6.5,6.0,6.0,5.5,M
US1NYER0102,"CHEEKTOWAGA 2.7 NE","ERIE",703,-78.72,42.94,6.0,6.0,8.0,7.0,7.0,6.0,6.0,6.0,M
US1NYCM0024,"CHEMUNG 5.7 N","CHEMUNG",1069,-76.63,42.09,1.5,2.0,1.5,1.5,1.5,1.0,1.0,1.0,M
US1NYMD0016,"CHITTENANGO 2.1 ESE","MADISON",683,-75.83,43.03,5.0,M,6.0,M,9.0,10.5,M,11.5,M
US1NYER0051,"CLARENCE CENTER 0.9 N","ERIE",627,-78.63,43.02,M,7.0,8.0,9.0,9.5,9.5,M,M,M
US1NYOG0012,"CLAY 4.6 NW","ONONDAGA",380,-76.26,43.20,10.5,12.0,11.0,10.0,15.0,17.0,17.0,15.0,M
US1NYSR0029,"CLIFTON PARK 2.7 S","SARATOGA",289,-73.79,42.82,M,5.5,M,M,M,M,M,M,M
USC00301595,"COBLESKILL 2 ESE","SCHOHARIE",1169,-74.44,42.67,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,M
US1NYPT0004,"COLD SPRING 8.1 NE","PUTNAM",451,-73.84,41.50,2.3,2.3,2.1,1.9,6.0,3.8,3.8,3.6,M
USC00301625,"COLDEN 1W","ERIE",1535,-78.71,42.65,18.0,20.0,17.0,17.0,16.0,15.0,14.0,14.0,M
US1NYER0077,"COLDEN 2.4 ENE","ERIE",1650,-78.61,42.65,20.5,20.0,18.5,18.0,18.5,18.0,17.0,17.0,M
USC00301708,"CONKLINGVILLE DAM","SARATOGA",808,-73.93,43.32,M,10.0,10.0,10.0,11.0,M,M,11.0,M
USC00301752,"COOPERSTOWN","OTSEGO",1257,-74.93,42.72,5.0,5.0,5.0,5.0,5.0,5.0,M,M,M
USC00301787,"CORNING","STEUBEN",1147,-77.07,42.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,M
US1NYOR0002,"CORNWALL ON HUDSON 0.6 NNW","ORANGE",167,-74.02,41.45,M,M,2.0,8.0,M,M,M,M,M
US1NYLW0010,"CROGHAN 6.2 N","LEWIS",1040,-75.37,43.98,14.5,14.5,24.0,24.0,21.0,19.5,18.5,17.5,M
USC00301974,"DANSVILLE","LIVINGSTON",660,-77.72,42.56,4.0,4.0,M,2.0,2.0,2.0,2.0,1.0,M
US1NYLV0005,"DANSVILLE 1.0 ENE","LIVINGSTON",1505,-77.68,42.57,M,M,3.0,M,M,M,M,M,M
US1NYLV0001,"DANSVILLE 3.6 WSW","LIVINGSTON",1516,-77.76,42.53,4.0,4.0,4.0,3.5,4.0,4.0,4.0,3.5,M
US1NYOG0002,"DE WITT 1.4 WSW","ONONDAGA",630,-76.10,43.03,7.0,8.0,7.0,6.0,14.5,16.0,16.0,M,M
USC00302031,"DELANSON 2NE","SCHENECTADY",984,-74.17,42.77,4.0,4.0,4.0,4.0,7.0,7.0,7.0,6.0,M
USC00302036,"DELHI 2 SE","DELAWARE",1460,-74.90,42.25,3.0,3.0,3.0,4.0,7.0,7.0,7.0,7.0,M
US1NYHR0012,"DOLGEVILLE 1.9 NW","HERKIMER",1026,-74.80,43.12,8.0,8.0,M,M,M,M,M,M,M
US1NYSY0012,"DUNDEE 5.7 ESE","SCHUYLER",922,-76.87,42.50,M,M,1.0,0.5,0.5,0.5,0.5,M,M
US1NYSY0011,"DUNDEE 6.2 E","SCHUYLER",1089,-76.86,42.52,3.5,4.0,4.0,4.0,4.0,M,4.0,4.0,M
USC00302197,"DUNKIRK","CHAUTAUQUA",631,-79.33,42.47,9.5,7.0,6.0,6.0,5.5,5.0,5.5,5.0,M
US1NYOD0023,"DURHAMVILLE 3.5 NNW","ONEIDA",394,-75.68,43.17,5.5,7.5,6.5,5.5,3.5,7.0,6.5,6.5,M
US1NYMD0009,"EARLVILLE 0.4 W","MADISON",1080,-75.55,42.74,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.5,M
US1NYMD0011,"EARLVILLE 1.6 NNW","MADISON",1091,-75.56,42.76,M,3.0,M,3.7,M,M,M,M,M
US1NYER0054,"EAST AMHERST 1.2 WNW","ERIE",584,-78.72,43.02,M,M,M,7.5,8.5,M,M,M,M
US1NYER0050,"EAST AURORA 0.1 ENE","ERIE",919,-78.62,42.77,9.0,9.0,9.0,8.5,9.5,9.5,9.5,9.0,M
US1NYER0066,"EAST AURORA 1.0 ESE","ERIE",1017,-78.60,42.76,7.0,6.0,M,6.5,5.5,5.0,4.5,M,M
US1NYTM0018,"EAST ITHACA 4.7 E","TOMPKINS",1161,-76.37,42.42,7.0,7.5,6.5,6.0,7.5,6.0,7.0,M,M
USC00302366,"EAST JEWETT","GREENE",1991,-74.14,42.24,4.0,4.0,4.0,4.0,7.0,6.0,5.0,5.0,M
US1NYSF0019,"EAST MORICHES 0.6 WNW","SUFFOLK",42,-72.77,40.81,M,T,T,5.8,M,M,M,M,M
USC00302574,"ELLENBURG DEPOT","CLINTON",950,-73.82,44.91,4.0,5.0,5.0,6.0,5.0,5.0,5.0,M,M
US1NYER0096,"ELMA 2.7 WSW","ERIE",835,-78.68,42.81,10.0,10.0,11.0,10.9,12.3,12.0,11.9,11.4,M
