Date,Open,High,Low,Close,Volume,Adj Close
2017-04-12,124.540001,125.459999,124.360001,125.400002,5492900,125.400002
2017-04-11,124.260002,124.790001,123.949997,124.220001,4122600,124.220001
2017-04-10,124.870003,124.949997,124.230003,124.339996,4361800,124.339996
2017-04-07,125.120003,125.470001,124.830002,124.919998,3602600,124.919998
2017-04-06,124.849998,125.459999,124.50,125.050003,4324200,125.050003
2017-04-05,124.720001,125.599998,124.410004,124.800003,5515700,124.800003
2017-04-04,124.510002,124.769997,124.220001,124.68,5318500,124.68
2017-04-03,124.730003,125.309998,124.279999,124.690002,4956400,124.690002
2017-03-31,124.110001,124.830002,124.029999,124.550003,5649900,124.550003
2017-03-30,124.739998,125.43,124.279999,124.660004,4670200,124.660004
2017-03-29,125.050003,125.330002,124.360001,124.919998,3895400,124.919998
2017-03-28,125.620003,125.779999,124.779999,125.660004,5231500,125.660004
2017-03-27,125.160004,126.139999,125.150002,125.800003,4989900,125.800003
2017-03-24,125.860001,126.360001,125.129997,125.480003,6405700,125.480003
2017-03-23,126.099998,127.00,125.660004,125.900002,8489100,125.900002
2017-03-22,127.050003,127.650002,126.209999,126.260002,10204600,126.260002
2017-03-21,128.380005,128.449997,127.139999,127.25,7526800,127.25
2017-03-20,128.039993,128.419998,127.970001,128.070007,5378100,128.070007
2017-03-17,128.449997,128.940002,127.949997,128.059998,13193000,128.059998
2017-03-16,128.440002,128.699997,127.769997,128.460007,7575200,128.460007
2017-03-15,127.050003,129.00,126.599998,128.960007,8207200,128.960007
2017-03-14,126.860001,127.75,126.769997,127.050003,7598700,127.050003
2017-03-13,125.830002,126.949997,125.790001,126.68,7002300,126.68
