Date,Open,High,Low,Close,Volume,Adj Close
2017-04-12,178.25,178.25,175.940002,176.050003,2920000,176.050003
2017-04-11,177.50,178.600006,176.960007,178.570007,2259700,178.570007
2017-04-10,179.00,179.970001,177.479996,177.559998,2259500,177.559998
2017-04-07,178.389999,179.089996,177.259995,178.850006,2704700,178.850006
2017-04-06,177.559998,178.220001,177.119995,177.369995,2343600,177.369995
2017-04-05,179.00,180.179993,176.889999,177.080002,2387100,177.080002
2017-04-04,176.880005,178.789993,176.759995,178.699997,2319200,178.699997
2017-04-03,177.080002,177.729996,175.50,176.649994,2933600,176.649994
2017-03-31,178.020004,178.179993,176.809998,176.860001,2030400,176.860001
2017-03-30,177.25,178.490005,177.220001,177.979996,1627000,177.979996
2017-03-29,177.399994,177.990005,176.970001,177.630005,1629300,177.630005
2017-03-28,176.289993,177.679993,175.00,177.360001,2231400,177.360001
2017-03-27,174.369995,176.440002,173.75,176.100006,2743800,176.100006
2017-03-24,176.850006,177.529999,174.770004,175.820007,2386800,175.820007
2017-03-23,177.339996,177.850006,176.589996,177.259995,2006400,177.259995
2017-03-22,175.960007,177.100006,175.50,176.979996,2505700,176.979996
2017-03-21,179.990005,180.25,175.50,175.960007,3239600,175.960007
2017-03-20,180.100006,180.149994,179.139999,179.389999,2062200,179.389999
2017-03-17,178.309998,180.380005,178.169998,180.100006,5037400,180.100006
2017-03-16,179.820007,180.00,177.639999,178.190002,3100700,178.190002
2017-03-15,179.00,179.240005,177.970001,178.710007,3569000,178.710007
2017-03-14,178.539993,179.690002,177.710007,178.729996,2346700,178.729996
2017-03-13,177.160004,179.190002,177.070007,179.050003,3499000,179.050003
